ID,Population,FHBD,FasMetaPop,FasPop,FasPopUnrelated,FPED
M032424,CH,0.0247287043044545,0.0708695270136822,0.107512513208124,NA,0
M032441,CH,0.0530639327567074,0.0676512891475271,0.103780160841427,NA,0
M032444,CH,0.0645189264030231,0.0812045813422162,0.116983883105926,NA,0
M032445,CH,0.0411870819525209,0.0581569249407076,0.0949494461134623,NA,0
M032446,CH,0.0384989461870751,0.0580658296085577,0.0947127321028074,NA,0
M032447,CH,0.0520754422417625,0.108977417476357,0.143251716831816,NA,0
M032460,CH,0.0428516727890175,0.100561558898471,0.13592493638065,NA,0
M032478,CH,0.0464097815981571,0.0601397271341364,0.0965964577294772,0.049232276676348,0
M032487,CH,0.0573060727916513,0.0819155948153352,0.117654568723623,NA,0
M033603,CH,0.0419485281806935,0.0219253559643565,0.0597787324520765,NA,0
M033660,CH,0.0459151886792362,0.0772135026640088,0.11326214632902,NA,0
M034517,CH,0.043490813492207,0.0817349532288666,0.117722050175664,0.0716109300625506,0
M035431,CH,0.0391907315487956,0.105849007629062,0.140856887451787,0.0959539174936111,0
M037524,CH,0.0378415510306924,0.0719182725380065,0.108558255187784,NA,0
M037525,CH,0.0307768509059315,0.0710846563157099,0.107578301967843,NA,0
M037594,CH,0.0497905521032933,0.0669381183873008,0.103265647570712,0.0562784795725559,0
M037624,CH,0.0341501104905615,0.0646606906847113,0.101155293932935,NA,0
M037625,CH,0.0369462128336088,0.0568477717537866,0.0935870108177152,NA,0
M037626,CH,0.0418295558264108,0.0882957275127687,0.123871518380197,NA,0
M037627,CH,0.0317676198405243,0.0455714782152522,0.0827409123243446,NA,0
M037628,CH,0.0391168810691489,0.0350660798464243,0.0726753505669984,NA,0
M037688,CH,0.0531491808767959,0.0500525472820551,0.0871545352431517,NA,0
M037689,CH,0.0435134608760484,0.100433440156341,0.135536068181583,NA,0
M037690,CH,0.053336200612062,0.097596307871753,0.132943539579965,NA,0
M037758,CH,0.0386901501476,0.0665781699758242,0.102984378691238,NA,0
M037759,CH,0.0552483362980694,0.0771842591604245,0.113113288590242,NA,0
M037761,CH,0.0386779110367127,0.0838603301709997,0.119532416814507,NA,0
M037925,CH,0.0533218449751374,0.106790343845051,0.141854896256952,NA,0
