ID,Population,Sex,Included.in.UnrelatedSet,sample.longitude,sample.latitude
M047588,CH,1,0,6.8962912001562,46.8150182057466
AE01,AE,2,0,28.183574,36.399321
AE02,AE,2,0,28.183574,36.399321
AE03,AE,1,1,26.13723,38.3638
AE04,AE,2,1,26.13723,38.3638
AE05,AE,1,1,26.8568,37.15344
AE06,AE,1,0,26.21799,39.17555
AE07,AE,2,1,26.21799,39.17555
AE08,AE,1,1,28.183574,36.399321
AE09,AE,1,0,26.840573,37.14877
AE10,AE,2,1,27.94777,36.202531
AE11,AE,1,1,24.875394,37.83949
CO01,CO,1,1,9.36797,42.008225
CO02,CO,1,1,8.701581,42.116124
CO03,CO,2,1,9.476203,42.051929
CT01,CT,1,0,24.87,35.05
CT02,CT,1,1,24.72,35.41
CT03,CT,1,1,25.103043,35.329202
CT04,CT,1,1,25.109721,35.287985
CT05,CT,1,0,25.137519,35.308753
CT06,CT,2,1,25.182014,35.328886
CT07,CT,2,1,25.148686,35.319887
CT08,CT,1,1,25.139704,35.314373
CT09,CT,2,1,26.101714,35.207367
CT10,CT,2,1,25.178592,35.319725
CY01,CY,2,1,33.429859,35.126411
CY02,CY,2,1,33.19262,35.35305
CY03,CY,1,0,33.19262,35.35305
CY04,CY,2,0,33.636631,34.917709
CY05,CY,1,0,33.429859,35.126411
CY06,CY,2,0,33.429859,35.126411
CY07,CY,2,1,33.636631,34.917709
CY08,CY,2,1,33.19262,35.35305
CY09,CY,2,0,33.19262,35.35305
CY10,CY,2,1,33.19262,35.35305
DK01,DK,2,1,9.52,54.407
DK02,DK,1,0,9.91,54.383
DK03,DK,2,1,10.14,53.979
DK04,DK,2,1,9.49,53.81
DK05,DK,1,0,9.37,53.908
DK06,DK,1,1,10.13,54.478
DK07,DK,2,1,9.33,53.961
DK08,DK,1,0,9.61,55.00918889
DK09,DK,1,1,8.67,55.07833333
DK10,DK,2,1,8.9,55.02894444
EC01,EC,2,1,-13.616093,29.000746
EC02,EC,2,0,-13.666654,28.968387
EC03,EC,2,1,-13.479568,29.07445
EC04,EC,2,0,-13.65064,28.95721
EC05,EC,1,0,-13.545505,29.012889
EC06,EC,1,1,-13.777569,28.913939
EC07,EC,1,1,-13.479568,29.07445
EC08,EC,2,0,-13.777569,28.913939
EC09,EC,1,1,-13.926371,28.609991
EC10,EC,2,1,-13.8726,28.437556
FR01,FR,1,1,0.9189963,49.5403614
FR02,FR,1,1,0.5888605,49.3425502
FR03,FR,1,0,0.9455061,49.3583069
FR04,FR,1,0,0.8344046,49.7547186
FR05,FR,1,1,0.8236483,49.2964642
GB01,GB,1,1,-4.512021748,57.60498789
GB02,GB,1,1,-3.825084876,57.25739791
GB03,GB,2,1,-6.150438,55.832275
GB04,GB,2,0,-6.2672242,56.587461
GB05,GB,1,1,-3.091468122,54.83990316
GB06,GB,1,1,-2.15938297,55.38386587
GB07,GB,1,1,-3.049897065,53.22241684
GB08,GB,1,1,-0.318743451,54.11411834
GB09,GB,1,1,-0.97849338,52.14386515
GB10,GB,1,1,0.937164413,52.38150024
GB11,GB,1,1,-5.091120474,50.30880422
GB12,GB,1,1,-1.71538619,51.1589058
GB13,GB,1,1,-4.432787,53.264413
GB14,GB,1,1,-3.874428689,51.50393792
GB15,GB,1,0,-4.533152,54.222083
GR01,GR,1,1,21.382852,38.608873
GR02,GR,1,0,23.715066,37.909316
GR03,GR,1,1,23.820683,38.026793
GR04,GR,2,1,23.058219,37.976299
GR05,GR,2,1,22.120094,37.032345
GR06,GR,2,1,22.445301,38.896182
GR07,GR,1,1,21.352951,38.436942
GR08,GR,2,0,21.75117,39.330836
GR09,GR,2,1,21.406898,38.619696
GR10,GR,1,0,23.922571,37.965363
GR11,GR,2,1,22.293432,36.837707
IO01,IO,1,1,20.595414,38.210385
IO02,IO,2,1,19.839415,39.607271
IO03,IO,2,1,19.776998,39.707243
IO04,IO,1,0,20.71477,37.836169
IO05,IO,2,1,20.815048,37.755574
IR01,IR,2,1,-9.087303,53.717016
IR02,IR,1,1,-7.874954,52.067063
IR03,IR,1,1,-6.42970997,53.96701196
IR04,IR,1,0,-7.45861934,52.845967
IR05,IR,1,1,-9.77520904,52.31874355
IR06,IR,2,0,-8.32860446,51.909903
IR07,IR,1,0,-9.47739804,52.25212202
IR08,IR,1,1,-7.79332488,53.07952944
IR09,IR,1,1,-7.977143,52.934973
IR10,IR,1,0,-7.861396,52.528809
IR11,IR,2,0,-5.711307,54.289016
IR12,IR,2,1,-5.916025,54.627289
IS01,IS,2,1,34.849,31.633
IS02,IS,1,0,35.502,32.471
IS03,IS,2,1,35.620584,33.130261
IS04,IS,2,0,35.420201,32.451493
IS05,IS,1,0,35.502,32.471
IS06,IS,2,1,35.551,32.494
IS07,IS,2,1,35.502,32.471
IS08,IS,2,1,35.611,33.103
IS09,IS,2,1,35.615674,33.089226
IS10,IS,1,1,35.502,32.471
IT01,IT,2,1,12.496365,41.902782
IT02,IT,2,1,12.496365,41.902782
IT03,IT,1,1,12.496365,41.902782
IT04,IT,1,1,12.496365,41.902782
IT05,IT,2,1,12.496365,41.902782
IT06,IT,2,0,11.11278,42.762859
IT07,IT,2,1,10.30784,43.551891
IT08,IT,2,1,11.255814,43.769562
IT09,IT,1,1,11.255814,43.769562
IT10,IT,2,0,11.255814,43.769562
MA01,MA,2,1,-5.942395,34.574792
MA02,MA,2,1,-7.215589,33.71823
MA03,MA,1,1,-6.893921,33.955493
PT01,PT,2,1,-8.717488,39.954553
PT02,PT,1,1,-8.797704,38.827724
PT03,PT,1,1,-8.136432,38.452316
PT04,PT,2,1,-8.844855,38.86992
PT05,PT,2,1,-8.983704,39.606738
PT06,PT,2,1,-8.813396,39.549794
PT07,PT,2,1,-8.6482,38.59725
PT08,PT,2,1,-8.723021,39.639555
PT09,PT,1,1,-8.847111,39.415557
PT10,PT,1,1,-8.432686,38.562755
GE01,GE,2,1,44.849828,41.732723
GE02,GE,1,0,44.849828,41.732723
GE03,GE,1,0,44.849828,41.732723
GE04,GE,1,0,44.849828,41.732723
GE05,GE,2,0,44.849828,41.732723
GE06,GE,2,1,44.849828,41.732723
SB01,SB,1,1,19.834851,45.330674
SB02,SB,1,1,21.44284,45.16766
SB03,SB,2,1,20.06272,43.81
SB04,SB,2,1,21.10623,44.18448
SB05,SB,1,1,21.40824,43.83121
WC01,WC,1,0,-16.845064,28.327868
WC02,WC,2,1,-16.481024,28.183179
WC03,WC,2,1,-16.412726,28.310592
WC04,WC,1,1,-16.618862,28.09849
WC05,WC,1,1,-16.398704,28.330574
WC06,WC,2,0,-16.3821,28.328095
WC07,WC,1,0,-16.482934,28.436432
WC08,WC,1,0,-16.34929,28.483326
WC09,WC,1,1,-16.64959,28.394055
WC10,WC,2,0,-16.310734,28.466202
